"sequence","prokka_descrip","max_annot_lvl","Preferred_name","Description","EC","KEGG_ko","CAZy","PFAMs","Preferred_name2","AMR_descrip","Class","Subclass","percent_ident"
"HEBPGAIP_00021","hypothetical protein","91061|Bacilli","-","Phage transcriptional regulator, ArpU family","-","-","-","DUF1492",NA,NA,NA,NA,NA
"HEBPGAIP_00022","hypothetical protein","10699|Siphoviridae","-","calcium ion binding","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00023","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00024","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00025","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00026","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00027","hypothetical protein","91061|Bacilli","-","Phage regulatory protein Rha (Phage_pRha)","-","-","-","Phage_pRha",NA,NA,NA,NA,NA
"HEBPGAIP_00028","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00029","hypothetical protein","91061|Bacilli","-","Helix-turn-helix domain","-","-","-","HTH_17",NA,NA,NA,NA,NA
"HEBPGAIP_00030","hypothetical protein","91061|Bacilli","-","Helix-turn-helix","-","-","-","HTH_3",NA,NA,NA,NA,NA
"HEBPGAIP_00031","Tyrosine recombinase XerC","91061|Bacilli","-","Phage integrase, N-terminal SAM-like domain","-","-","-","Arm-DNA-bind_4,Phage_int_SAM_3,Phage_integrase",NA,NA,NA,NA,NA
"HEBPGAIP_00032","tRNA-Arg(tcg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00033","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00034","hypothetical protein","91061|Bacilli","-","Winged helix DNA-binding domain","-","ko:K06075","-","MarR",NA,NA,NA,NA,NA
"HEBPGAIP_00035","Bifunctional NAD(P)H-hydrate repair enzyme Nnr","91061|Bacilli","nnrE","Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S- specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX","5.1.99.6","ko:K17759","-","YjeF_N",NA,NA,NA,NA,NA
"HEBPGAIP_00036","hypothetical protein","2|Bacteria","arsR","DNA-binding transcription factor activity","-","ko:K03892","-","HTH_20,HTH_5",NA,NA,NA,NA,NA
"HEBPGAIP_00037","Putative multidrug resistance protein MdtD","91061|Bacilli","-","the major facilitator superfamily","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00038","D-alanyl-D-alanine dipeptidase","91061|Bacilli","aad","Catalyzes hydrolysis of the D-alanyl-D-alanine dipeptide","3.4.13.22","ko:K08641","-","Peptidase_M15",NA,NA,NA,NA,NA
"HEBPGAIP_00039","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00040","putative protein YxeI","91061|Bacilli","yxeI","Linear amide C-N hydrolase, choloylglycine hydrolase family protein","3.5.1.24","ko:K01442","-","CBAH",NA,NA,NA,NA,NA
"HEBPGAIP_00041","hypothetical protein","91061|Bacilli","lytE","NlpC P60 family","-","-","-","LysM,NLPC_P60,SH3_3",NA,NA,NA,NA,NA
"HEBPGAIP_00042","Lipid II flippase MurJ","91061|Bacilli","ytgP","Polysaccharide biosynthesis protein","-","ko:K03328","-","Polysacc_synt,Polysacc_synt_C",NA,NA,NA,NA,NA
"HEBPGAIP_00043","hypothetical protein","91061|Bacilli","-","Helix-turn-helix domain","-","-","-","HTH_3",NA,NA,NA,NA,NA
"HEBPGAIP_00044","hypothetical protein","91061|Bacilli","-","Prolyl oligopeptidase family","3.4.19.1","ko:K01303","-","PD40,Peptidase_S9",NA,NA,NA,NA,NA
"HEBPGAIP_00045","2-dehydropantoate 2-reductase","91061|Bacilli","panE","Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid","1.1.1.169","ko:K00077","-","ApbA,ApbA_C",NA,NA,NA,NA,NA
"HEBPGAIP_00046","hypothetical protein","91061|Bacilli","-","-","-","-","-","ATP-cone",NA,NA,NA,NA,NA
"HEBPGAIP_00047","Regulatory protein Spx","91061|Bacilli","spxA","Interferes with activator-stimulated transcription by interaction with the RNA polymerase alpha-CTD. May function to globally reduce transcription of genes involved in growth- and development-promoting processes and to increase transcription of genes involved in thiol homeostasis, during periods of extreme stress","-","ko:K16509","-","ArsC",NA,NA,NA,NA,NA
"HEBPGAIP_00048","hypothetical protein","91061|Bacilli","nhaP2","Sodium proton antiporter","-","ko:K03316","-","Na_H_Exchanger",NA,NA,NA,NA,NA
"HEBPGAIP_00049","Trifunctional nucleotide phosphoesterase protein YfkN","91061|Bacilli","yfkN","Belongs to the 5'-nucleotidase family","3.1.3.6,3.1.4.16","ko:K01119","-","5_nucleotid_C,Metallophos",NA,NA,NA,NA,NA
"HEBPGAIP_00050","Arylsulfate sulfotransferase AssT","91061|Bacilli","astA","Arylsulfotransferase Ig-like domain","2.8.2.22","ko:K01023","-","Arylsulfotran_N,Arylsulfotrans",NA,NA,NA,NA,NA
"HEBPGAIP_00051","hypothetical protein","91061|Bacilli","-","Protein of unknown function (DUF1275)","-","-","-","DUF1275",NA,NA,NA,NA,NA
"HEBPGAIP_00052","Pyrimidine-specific ribonucleoside hydrolase RihA","91061|Bacilli","rihA","Inosine-uridine preferring nucleoside hydrolase","-","ko:K01250","-","IU_nuc_hydro",NA,NA,NA,NA,NA
"HEBPGAIP_00053","tRNA-Gln(ttg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00054","Catabolite control protein A","91061|Bacilli","-","helix_turn _helix lactose operon repressor","-","ko:K02529,ko:K03435","-","LacI,Peripla_BP_1,Peripla_BP_3",NA,NA,NA,NA,NA
"HEBPGAIP_00055","hypothetical protein","91061|Bacilli","-","Pentapeptide repeats (8 copies)","-","-","-","Pentapeptide,Pentapeptide_4",NA,NA,NA,NA,NA
"HEBPGAIP_00056","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00057","hypothetical protein","91061|Bacilli","ywlG","Belongs to the UPF0340 family","-","-","-","DUF436",NA,NA,NA,NA,NA
"HEBPGAIP_00058","Thiamine precursor transporter HmpT","91061|Bacilli","hmpT","ECF-type riboflavin transporter, S component","-","-","-","ECF-ribofla_trS",NA,NA,NA,NA,NA
"HEBPGAIP_00059","Pyridoxine kinase","91061|Bacilli","thiD","Phosphomethylpyrimidine kinase","2.7.1.35","ko:K00868","-","Phos_pyr_kin",NA,NA,NA,NA,NA
"HEBPGAIP_00060","HTH-type transcriptional regulator NorG","91061|Bacilli","norG_2","Aminotransferase class I and II","-","-","-","Aminotran_1_2,GntR",NA,NA,NA,NA,NA
"HEBPGAIP_00061","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU","91061|Bacilli","ywtF_2","Cell envelope-related transcriptional attenuator domain","-","-","-","LytR_cpsA_psr",NA,NA,NA,NA,NA
"HEBPGAIP_00062","Vitamin B12 import ATP-binding protein BtuD","91061|Bacilli","-","ATPases associated with a variety of cellular activities","-","ko:K02049","-","AAA_assoc_C,ABC_tran",NA,NA,NA,NA,NA
"HEBPGAIP_00063","hypothetical protein","91061|Bacilli","-","Binding-protein-dependent transport system inner membrane component","-","ko:K02050","-","BPD_transp_1",NA,NA,NA,NA,NA
"HEBPGAIP_00064","Peptidoglycan glycosyltransferase RodA","91061|Bacilli","rodA","Cell cycle protein","-","ko:K05837","-","FTSW_RODA_SPOVE",NA,NA,NA,NA,NA
"HEBPGAIP_00065","Purine efflux pump PbuE","91061|Bacilli","yceJ","transporter","-","ko:K08221","-","MFS_1,Sugar_tr",NA,NA,NA,NA,NA
"HEBPGAIP_00066","putative HTH-type transcriptional regulator YybR","91061|Bacilli","-","HxlR-like helix-turn-helix","-","-","-","HxlR",NA,NA,NA,NA,NA
"HEBPGAIP_00067","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00068","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00069","hypothetical protein","91061|Bacilli","-","Glyoxalase","4.4.1.5","ko:K01759","-","Glyoxalase,Glyoxalase_4",NA,NA,NA,NA,NA
"HEBPGAIP_00070","hypothetical protein","91061|Bacilli","-","Membrane","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00071","2-deoxy-scyllo-inosamine dehydrogenase","91061|Bacilli","tdh","Zinc-binding dehydrogenase","1.1.1.14","ko:K00008","-","ADH_N,ADH_zinc_N",NA,NA,NA,NA,NA
"HEBPGAIP_00072","Putative fructokinase","91061|Bacilli","scrK","ROK family","2.7.1.4","ko:K00847","-","ROK",NA,NA,NA,NA,NA
"HEBPGAIP_00073","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00074","Glycerol dehydrogenase","91061|Bacilli","gldA","dehydrogenase","1.1.1.6","ko:K00005","-","Fe-ADH",NA,NA,NA,NA,NA
"HEBPGAIP_00075","hypothetical protein","91061|Bacilli","ykkC","Small Multidrug Resistance protein","-","ko:K18924","-","Multi_Drug_Res",NA,NA,NA,NA,NA
"HEBPGAIP_00076","putative guanidinium efflux system subunit GdnD","91061|Bacilli","ykkD","Multidrug resistance protein","-","ko:K18925","-","Multi_Drug_Res",NA,NA,NA,NA,NA
"HEBPGAIP_00077","hypothetical protein","91061|Bacilli","yokL3","Acetyltransferase (GNAT) domain","-","-","-","Acetyltransf_3",NA,NA,NA,NA,NA
"HEBPGAIP_00078","2","91061|Bacilli","-","Belongs to the phosphoglycerate mutase family","-","-","-","His_Phos_1",NA,NA,NA,NA,NA
"HEBPGAIP_00079","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00080","Alpha","91061|Bacilli","treP","hydrolase, family 65, central catalytic","2.4.1.64","ko:K05342","GH65","Glyco_hydro_65C,Glyco_hydro_65N,Glyco_hydro_65m",NA,NA,NA,NA,NA
"HEBPGAIP_00081","Carboxylesterase NlhH","91061|Bacilli","-","alpha/beta hydrolase fold","-","-","-","Abhydrolase_3",NA,NA,NA,NA,NA
"HEBPGAIP_00082","Isoprimeverose transporter","91061|Bacilli","xylP2","symporter","-","-","-","MFS_2",NA,NA,NA,NA,NA
"HEBPGAIP_00083","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00084","CRISPR-associated endoribonuclease Cas2","91061|Bacilli","cas2","CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette","-","ko:K09951","-","CRISPR_Cas2",NA,NA,NA,NA,NA
"HEBPGAIP_00085","CRISPR-associated endonuclease Cas1","91061|Bacilli","cas1","CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette","-","ko:K15342","-","Cas_Cas1",NA,NA,NA,NA,NA
"HEBPGAIP_00086","CRISPR-associated endonuclease Cas9","91061|Bacilli","cas9","CRISPR (clustered regularly interspaced short palindromic repeat) is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). In type II CRISPR systems correct processing of pre-crRNA requires a trans-encoded small RNA (tracrRNA), endogenous ribonuclease 3 (rnc) and this protein. The tracrRNA serves as a guide for ribonuclease 3-aided processing of pre-crRNA. Subsequently Cas9 crRNA tracrRNA endonucleolytically cleaves linear or circular dsDNA target complementary to the spacer","-","ko:K09952","-","Cas9-BH,Cas9_PI,Cas9_REC,HNH_4",NA,NA,NA,NA,NA
"HEBPGAIP_00087","Oligopeptide-binding protein OppA","91061|Bacilli","oppA","ABC transporter, substratebinding protein","-","ko:K02035,ko:K15580","-","SBP_bac_5",NA,NA,NA,NA,NA
"HEBPGAIP_00088","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00089","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00090","Catabolite control protein A","91061|Bacilli","cytR","Transcriptional regulator, LacI family","-","ko:K02529,ko:K03604","-","LacI,Peripla_BP_1,Peripla_BP_3",NA,NA,NA,NA,NA
"HEBPGAIP_00091","hypothetical protein","91061|Bacilli","-","Major Facilitator","-","ko:K16211","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00092","Oligo-1","91061|Bacilli","-","Alpha amylase, catalytic domain protein","3.2.1.10,3.2.1.20","ko:K01182,ko:K01187","GH13,GH31","Alpha-amylase,DUF3459,Malt_amylase_C",NA,NA,NA,NA,NA
"HEBPGAIP_00093","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00094","Zinc-type alcohol dehydrogenase-like protein","91061|Bacilli","-","Zinc-binding dehydrogenase","-","-","-","ADH_N,ADH_zinc_N_2",NA,NA,NA,NA,NA
"HEBPGAIP_00095","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00096","putative HTH-type transcriptional regulator","91061|Bacilli","-","helix_turn_helix, mercury resistance","-","-","-","MerR_1",NA,NA,NA,NA,NA
"HEBPGAIP_00097","hypothetical protein","91061|Bacilli","-","Transcriptional regulator","-","-","-","MarR",NA,NA,NA,NA,NA
"HEBPGAIP_00098","hypothetical protein","91061|Bacilli","-","alcohol dehydrogenase","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00099","hypothetical protein","91061|Bacilli","-","Bacterial transferase hexapeptide (six repeats)","2.3.1.30","ko:K00640","-","Hexapep",NA,NA,NA,NA,NA
"HEBPGAIP_00100","putative oxidoreductase","91061|Bacilli","-","Oxidoreductase","-","-","-","Oxidored_FMN",NA,NA,NA,NA,NA
"HEBPGAIP_00101","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00102","putative HTH-type transcriptional regulator YtcD","91061|Bacilli","-","Transcriptional regulator, HxlR family","-","-","-","HxlR",NA,NA,NA,NA,NA
"HEBPGAIP_00103","Microcin C7 self-immunity protein MccF","91061|Bacilli","mccF","LD-carboxypeptidase","-","-","-","Peptidase_S66",NA,NA,NA,NA,NA
"HEBPGAIP_00104","Pyrimidine-specific ribonucleoside hydrolase RihB","91061|Bacilli","-","Nucleoside","3.2.2.1,3.2.2.8","ko:K01239,ko:K10213","-","IU_nuc_hydro",NA,NA,NA,NA,NA
"HEBPGAIP_00105","Regulatory protein YeiL","91061|Bacilli","-","Cyclic nucleotide-monophosphate binding domain","-","ko:K16326","-","HTH_Crp_2,cNMP_binding",NA,NA,NA,NA,NA
"HEBPGAIP_00106","Manganese efflux system protein MneS","91061|Bacilli","yeaB","Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family","-","-","-","Cation_efflux,ZT_dimer",NA,NA,NA,NA,NA
"HEBPGAIP_00107","1","91061|Bacilli","dhaT","Dehydrogenase","1.1.1.202","ko:K00086","-","Fe-ADH",NA,NA,NA,NA,NA
"HEBPGAIP_00108","(S)-2-haloacid dehalogenase 4A","91061|Bacilli","-","Haloacid dehalogenase-like hydrolase","3.8.1.2","ko:K01560","-","HAD_2",NA,NA,NA,NA,NA
"HEBPGAIP_00109","hypothetical protein","91061|Bacilli","-","GyrI-like small molecule binding domain","-","ko:K15770","-","GyrI-like",NA,NA,NA,NA,NA
"HEBPGAIP_00110","hypothetical protein","91061|Bacilli","-","Protein of unknown function (DUF1398)","-","-","-","DUF1398",NA,NA,NA,NA,NA
"HEBPGAIP_00111","hypothetical protein","91061|Bacilli","-","Phosphatidylethanolamine-binding protein","-","ko:K06910","-","PBP",NA,NA,NA,NA,NA
"HEBPGAIP_00112","D-xylose transporter","91061|Bacilli","-","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","-","-","-","Sugar_tr",NA,NA,NA,NA,NA
"HEBPGAIP_00113","Putative hemin import ATP-binding protein HrtA","91061|Bacilli","lolD","ABC transporter, ATP-binding protein","-","ko:K02003","-","ABC_tran",NA,NA,NA,NA,NA
"HEBPGAIP_00114","hypothetical protein","91061|Bacilli","yxeA","ABC transporter permease","-","ko:K02004","-","FtsX,MacB_PCD",NA,NA,NA,NA,NA
"HEBPGAIP_00115","hypothetical protein","91061|Bacilli","-","Bacterial regulatory proteins, tetR family","-","-","-","TetR_N",NA,NA,NA,NA,NA
"HEBPGAIP_00116","putative transporter","91061|Bacilli","-","Major Facilitator Superfamily","-","-","-","MFS_1,Sugar_tr",NA,NA,NA,NA,NA
"HEBPGAIP_00117","Toxin-antitoxin biofilm protein TabA","91061|Bacilli","-","Domain of unknown function (DUF386)","-","-","-","DUF386",NA,NA,NA,NA,NA
"HEBPGAIP_00118","Membrane sensor protein UhpC","91061|Bacilli","-","Sugar (and other) transporter","-","-","-","MFS_1",NA,NA,NA,NA,NA
"HEBPGAIP_00119","hypothetical protein","91061|Bacilli","-","Domain of unknown function (DUF386)","-","-","-","DUF386",NA,NA,NA,NA,NA
"HEBPGAIP_00120","L-ribulose-5-phosphate 4-epimerase","91061|Bacilli","araD","links the arabinose metabolic pathway to the pentose phosphate pathway and allows the bacteria to use arabinose as an energy source","5.1.3.4","ko:K03077","-","Aldolase_II",NA,NA,NA,NA,NA
"HEBPGAIP_00121","L-ribulose-5-phosphate 3-epimerase UlaE","91061|Bacilli","sga","Xylose isomerase-like TIM barrel","5.1.3.22","ko:K03079","-","AP_endonuc_2",NA,NA,NA,NA,NA
"HEBPGAIP_00122","L-xylulose/3-keto-L-gulonate kinase","91061|Bacilli","-","Xylulose kinase","2.7.1.53","ko:K00880","-","FGGY_C,FGGY_N",NA,NA,NA,NA,NA
"HEBPGAIP_00123","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00124","Putative 2-hydroxyacid dehydrogenase","91061|Bacilli","gyaR","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family","1.1.1.26,1.1.1.399,1.1.1.95","ko:K00015,ko:K00058","-","2-Hacid_dh,2-Hacid_dh_C",NA,NA,NA,NA,NA
"HEBPGAIP_00125","HTH-type transcriptional regulator KdgR","91061|Bacilli","-","helix_turn _helix lactose operon repressor","-","ko:K02525","-","LacI,Peripla_BP_3,Peripla_BP_4",NA,NA,NA,NA,NA
"HEBPGAIP_00126","hypothetical protein","91061|Bacilli","thiW","Thiamine-precursor transporter protein (ThiW)","-","-","-","ThiW",NA,NA,NA,NA,NA
"HEBPGAIP_00127","hypothetical protein","91061|Bacilli","mleP2","Sodium Bile acid symporter family","-","ko:K07088","-","Mem_trans",NA,NA,NA,NA,NA
"HEBPGAIP_00128","Malolactic enzyme","91061|Bacilli","mleS","Malic enzyme","1.1.1.38,4.1.1.101","ko:K00027,ko:K22212","-","Malic_M,malic",NA,NA,NA,NA,NA
"HEBPGAIP_00129","Hydrogen peroxide-inducible genes activator","91061|Bacilli","mleR","LysR family","-","-","-","HTH_1,LysR_substrate",NA,NA,NA,NA,NA
"HEBPGAIP_00130","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00131","D-xylose transporter","91061|Bacilli","xylT","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","-","-","-","Sugar_tr",NA,NA,NA,NA,NA
"HEBPGAIP_00132","hypothetical protein","91061|Bacilli","-","Helix-turn-helix domain, rpiR family","-","ko:K03481","-","HTH_6,SIS",NA,NA,NA,NA,NA
"HEBPGAIP_00133","Putative agmatine deiminase","91061|Bacilli","aguA2","agmatine deiminase","3.5.3.12","ko:K10536","-","PAD_porph",NA,NA,NA,NA,NA
"HEBPGAIP_00134","Carbamate kinase 1","91061|Bacilli","arcC","Belongs to the carbamate kinase family","2.7.2.2","ko:K00926","-","AA_kinase",NA,NA,NA,NA,NA
"HEBPGAIP_00135","Putative agmatine deiminase","91061|Bacilli","aguA","agmatine deiminase","3.5.3.12","ko:K10536","-","PAD_porph",NA,NA,NA,NA,NA
"HEBPGAIP_00136","putative glutamate/gamma-aminobutyrate antiporter","91061|Bacilli","aguD","Amino Acid","-","ko:K20265","-","AA_permease_2",NA,NA,NA,NA,NA
"HEBPGAIP_00137","Putrescine carbamoyltransferase","91061|Bacilli","ptcA","Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline","2.1.3.6","ko:K13252","-","OTCace,OTCace_N",NA,NA,NA,NA,NA
"HEBPGAIP_00138","Na(+)/H(+) antiporter NhaC","91061|Bacilli","nhaC","Na H antiporter NhaC","-","ko:K03315","-","Na_H_antiporter",NA,NA,NA,NA,NA
"HEBPGAIP_00139","Glutamate/gamma-aminobutyrate antiporter","91061|Bacilli","-","Amino acid permease","-","ko:K20265","-","AA_permease_2",NA,NA,NA,NA,NA
"HEBPGAIP_00140","hypothetical protein","91061|Bacilli","tdc","Pyridoxal-dependent decarboxylase conserved domain","4.1.1.25","ko:K22330","-","Pyridoxal_deC",NA,NA,NA,NA,NA
"HEBPGAIP_00141","Tyrosine--tRNA ligase","91061|Bacilli","tyrS","Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)","6.1.1.1","ko:K01866","-","S4,tRNA-synt_1b",NA,NA,NA,NA,NA
"HEBPGAIP_00142","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00143","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00144","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBPGAIP_00145","Acetyl-CoA acetyltransferase","91061|Bacilli","atoB","Belongs to the thiolase family","1.1.1.88,2.3.1.9","ko:K00054,ko:K00626","-","HMG-CoA_red,Thiolase_C,Thiolase_N",NA,NA,NA,NA,NA
"HEBPGAIP_00146","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00147","hypothetical protein","91061|Bacilli","-","EamA-like transporter family","-","-","-","EamA",NA,NA,NA,NA,NA
"HEBPGAIP_00148","Intracellular exo-alpha-(1-5)-L-arabinofuranosidase","91061|Bacilli","abfA","Alpha-L-arabinofuranosidase C-terminus","3.2.1.55","ko:K01209","GH51","Alpha-L-AF_C",NA,NA,NA,NA,NA
"HEBPGAIP_00149","hypothetical protein","91061|Bacilli","-","domain protein","-","-","-","Cna_B,Collagen_bind,SdrD_B",NA,NA,NA,NA,NA
"HEBPGAIP_00150","hypothetical protein","91061|Bacilli","-","-","-","-","-","-",NA,NA,NA,NA,NA
"HEBPGAIP_00151","hypothetical protein","91061|Bacilli","-","Transglycosylase associated protein","-","-","-","Transgly_assoc",NA,NA,NA,NA,NA
"HEBPGAIP_00152","hypothetical protein","91061|Bacilli","yjdF3","Protein of unknown function (DUF2992)","-","-","-","DUF2992",NA,NA,NA,NA,NA
"HEBPGAIP_00153","HTH-type transcriptional activator RhaR","2|Bacteria","-","Transcriptional regulator","-","-","-","AraC_binding,Cupin_2,HTH_18",NA,NA,NA,NA,NA
"HEBPGAIP_00154","hypothetical protein","91061|Bacilli","-","Glycosyl hydrolase family 30 TIM-barrel domain","3.2.1.45","ko:K01201","GH30","Glyco_hydro_30,Glyco_hydro_30C",NA,NA,NA,NA,NA
